elevation,slope,aspect,plan_curv,prof_curv,twi,tri,spi,sti,flow_acc,dist_river
-1.3856057,-0.4540773,-0.14723799,-0.09748494,0.020748917,-0.2693696,-1.1540841,0.4222365,-0.09355453,0.008821433,0.44254753
-0.9148394,-0.5234974,-0.15520388,-0.24180599,-0.19600351,-0.09058854,-2.0448477,-0.37499538,-0.022950854,-0.018322168,0.13785619
-1.0365696,-0.37337378,-0.05322511,-0.01077329,-0.12322004,-0.0186934,-1.4078519,-0.4843391,-0.036406692,-0.036684666,0.053322155
0.011275285,0.3260532,0.111873664,0.11819642,-0.30899066,0.004378057,0.5993267,0.2542755,0.06819948,0.06527546,-0.05751567
-0.158988,0.16196431,0.22114347,0.6307229,0.14780955,0.30254346,0.7879263,-0.06326834,0.021597728,0.006430372,0.14055452
-0.09369349,-0.33594438,0.0112053435,-0.21795039,-0.15044196,-0.28261194,-1.3059789,-0.251047,-0.18459149,-0.014014017,-0.28238347
0.28013274,0.2156018,0.304837,0.22665006,0.21343888,0.062374324,0.60717225,-0.053828727,0.010626005,0.032645352,0.015679656
0.47136724,-0.41658008,-0.2503314,-0.3220295,0.63719267,-0.22169603,-0.7022751,-0.531872,-0.06569679,-0.07241462,0.12633015
0.1647806,-0.7300901,-0.077530466,-0.13218343,-0.30902788,-0.2663553,-4.1526246,-0.5189873,0.042093705,-0.056410134,0.30278462
0.31966475,-0.98486686,-0.2142873,-0.2796893,-0.16890061,-0.40264934,-3.9935868,-0.660126,-0.05553527,-0.028590305,0.37124622
0.3247321,0.14253002,-0.018868528,0.667503,-0.22572714,-0.11546862,0.4717587,0.47834602,-0.014849709,0.0470005,0.3068387
-0.20556265,0.62256944,0.06630654,0.253127,0.36397237,0.31801832,0.77130705,0.28610694,-0.008574352,0.015140515,0.17280497
0.43062806,0.17138723,-0.6851034,0.009966447,-0.17841886,-0.15835391,-0.26672313,-0.20712611,-0.1465954,-0.015664749,-0.1289687
0.56366426,0.23371707,0.09600184,0.26153868,0.3712908,0.2661526,0.55630714,0.05707293,0.03778004,0.012384522,0.10386205
0.116106905,0.38518962,0.4411252,0.0401843,0.58786947,0.085901484,0.71399444,0.261415,0.023497451,0.0054775947,-0.14176102
0.48990852,0.58527356,0.085469514,0.104466766,0.60612416,0.18816978,1.0817584,-0.042358235,0.03252542,0.009810899,0.14819518
-0.028582396,0.69538414,-0.4707949,0.26583496,0.3637326,0.30548915,0.88187873,0.22577879,0.016872095,0.06114363,0.10856781
-1.2306364,0.094989374,-0.5391138,-0.09175251,0.086371124,0.2520433,0.4922451,-0.10535364,-0.043576118,-0.050453566,0.012714322
0.00080210157,0.17468153,0.14819314,0.3435925,0.5949428,0.2959138,0.5761801,-0.13392997,0.04957716,0.0073405216,0.025898825
0.47496775,0.079534754,-0.2464254,0.56216717,0.7095394,0.19453572,0.75529885,-0.15222812,0.09580696,0.0003828784,0.0958906
0.49270943,0.13315001,0.05778576,-0.0935987,0.2291836,-0.19955295,0.6368854,0.21153139,0.009934481,-0.052171778,0.003557199
0.76216966,0.15694347,0.051829755,0.1908072,0.30271438,-0.11819376,0.5488075,0.13097091,0.07459185,-0.029639063,-0.011920084
0.0021470431,-1.1387128,-0.22259542,-0.17516644,-0.3013321,-0.44020972,-3.8971674,-0.3952245,-0.030212749,-0.02632612,0.030395873
-1.1823089,-0.30762717,0.21305427,0.032488097,-0.10743175,-0.08947416,-1.7490369,-0.17658028,-0.017151454,-0.009185787,-0.14832781
-0.1488175,0.15922756,-0.03505352,-0.039652117,0.62730104,0.20719466,0.56654584,-0.13159586,0.04194317,0.003645998,-0.35937515
-0.15458024,-1.0272115,0.09033693,-0.37513095,-0.3368875,-0.31817397,-4.145385,-0.63979566,-0.015490035,-0.029206466,-0.1615374
-0.23195301,-1.1985478,0.20121329,-0.20319529,-0.29490104,-0.32282633,-3.8565328,-0.40771508,-0.024072178,-0.071302116,-0.15746707
-1.4507983,0.088547476,0.03336762,0.0012116448,-0.20961732,0.21506174,0.05524565,-0.08557369,0.0059178765,-0.019553684,0.068879366
-0.03544757,0.1748128,0.119793765,-0.001243473,0.74968255,0.17141196,0.6457664,0.09049159,0.019187761,0.0058511132,-0.3726487
-0.1372105,0.5340275,0.1603277,-0.09774661,-0.18577862,0.2284418,0.7355484,0.44105822,0.07133123,0.03794926,-0.030975677
0.5488178,0.30645868,0.2923303,0.002056998,0.14946967,0.20952241,0.7421883,0.3229962,0.065449916,0.04355024,0.4447265
0.2128395,0.7952984,0.108890794,0.06450421,-0.23020737,0.4488854,0.74232876,0.309634,0.0172646,0.02769117,0.015016084
-0.15905894,-0.1073951,0.36882776,-0.09305574,-0.15850118,-0.12893696,-0.6355553,-0.25397646,-0.1240168,-0.004403101,-0.041453622
-0.4353011,0.6499536,0.18312316,0.008828535,-0.09578937,0.31021872,0.6312987,0.19842626,0.03183293,0.05367285,-0.24234785
0.572557,-0.10345498,0.32206014,-0.091984704,-0.107375,-0.18352647,-0.13541885,-0.02454518,-0.02691329,0.029725203,-0.028455218
0.35424986,0.28806087,-0.66899335,-0.19364807,-0.14509977,0.22713725,0.6769097,-0.012102265,-0.0407094,0.009738206,-0.011605963
0.12877189,0.5585562,0.15140338,0.03344665,-0.22109494,0.26705334,0.81497765,0.32476354,0.06691451,0.015532575,0.07100418
0.4996348,0.041245505,0.0707459,0.2194615,-0.1712363,0.07956002,0.4454899,-0.106032155,-0.01607026,0.01257304,-0.388596
-0.4133129,-1.0820287,-0.13931258,-0.2179923,-0.15236461,-0.35940236,-3.7362418,-0.4909338,-0.025381858,-0.047474016,-0.12841071
1.1848264,0.19277374,0.38943774,-0.15885414,0.40215772,-0.21650837,-0.019306473,0.24233079,0.0063077407,-0.048807286,0.2042821
-0.09448244,0.55353,-0.016383274,0.3197066,-0.10214049,0.31233585,0.8246206,0.13398258,0.028115192,0.021406816,0.119732775
0.31731617,-0.025049765,0.23206776,-0.083272874,-0.1418808,-0.16575116,-0.7217946,-0.24026588,-0.11877463,-0.02887212,-0.61517185
